species_common,species_scientific,family,
Redfin butterfly,Chaetodon lunulatus,Chaetodontidae,
Doublesaddle butterfly,Chaetodon ulietensis,Chaetodontidae,
Bennett's butterfly,Chaetodon bennetti,Chaetodontidae,
Klein butterfly,Chaetodon kleinii,Chaetodontidae,
Latticed butterfly,Chaetodon rafflesi,Chaetodontidae,
Longnose butterfly,Forcipiger longirostris,Chaetodontidae,
Ornate butterfly,Chaetodon ornatissimus,Chaetodontidae,
Pyramid butterfly,Heimtaurichthys polylepis,Chaetodontidae,
Spottail butterfly,Chaetodon ocellicaudus,Chaetodontidae,
Spotbanded butterfly,Chaetodon punctatofasciatus,Chaetodontidae,
Threadfin butterfly,Chaetodon auriga,Chaetodontidae,
Triangle butterfly,Chaetodon baronessa,Chaetodontidae,
Vagabond butterfly,Chaetodon vagabundus,Chaetodontidae,
Humphead banner,Heniochus varius,Chaetodontidae,
Singular banner,Heniochus singularis,Chaetodontidae,
Moorish idol,Zanclus cornutus,Chaetodontidae,
Ambon chromis,Chromis amboinensis,Pomacentridae,
Black chromis,Chromis atripectoralis,Pomacentridae,Q
Blackbar chromis,Chromis retrofasciata,Pomacentridae,
Darkfin chromis,Chromis atripes,Pomacentridae,
Scaly chromis,Chromis lepidolepis,Pomacentridae,
Ternate chromis,Chromis ternatensis,Pomacentridae,
Blueaxil chromis,Chromis caudalis,Pomacentridae,
Bluegreen chromis,Chromis viridis,Pomacentridae,
Weber's chromis,Chromis weberi,Pomacentridae,
Ambon damsel,Pomacentrus amboinensis,Pomacentridae,
Behn's damsel,Neoglyphidodon nigroris,Pomacentridae,
Blackvent damsel,Dischistodus melanotus,Pomacentridae,
Black damsel,Neoglyphidodon melas,Pomacentridae,
Charcoal damsel,Pomacentrus brachialis,Pomacentridae,
Dick's damsel,Plectroglyphidodon dickii,Pomacentridae,
Dusky damsel,Stegastes nigricans,Pomacentridae,Q
Golden damsel,Amblyglyphidodon aureus,Pomacentridae,
Molluca damsel,Pomacentrus moluccensis,Pomacentridae,
Paletail damsel,Pomacentrus trichrourus,Pomacentridae,
Staghorn damsel,Amblyglyphidodon curacao,Pomacentridae,
White damsel,Dischistodus perspicillatus,Pomacentridae,
Whitebelly damsel,Amblyglyphidodon leucogaster,Pomacentridae,
Reticulated dascyllus,Dascyllus reticulatus,Pomacentridae,
3-spot dascyllus,Dascyllus trimaculatus,Pomacentridae,
Yellow-tailed dascyllus,Dascyllus flavicaudus,Pomacentridae,
IndoPacific sergeant,Abudefduf vaigiensis,Pomacentridae,
Scissor-tail sergeant,Abudefduf sexfasciatus,Pomacentridae,
Purple anthias,Pseudanthias tuka,Serranidae,
Redcheeked anthias,Pseudanthias huchtii,Serranidae,
Coral hind,Cephalopholis miniata,Serranidae,
Brownmarbled grouper,Epinephelus fuscoguttata,Serranidae,
Flagtail grouper,Cephalopholis urodeta,Serranidae,
Honeycomb grouper,Epinephelus merra,Serranidae,
Red? Grouper,Cephalopholis sp.,Serranidae,
Slender grouper,Anyperodon leucogrammicus,Serranidae,
Freckled hawkfish,Paracirrhites forsterii,Cirrhitidae,
Scribbled filefish,Aluterus scriptus,Monacanthidae,
Lined bristletooth,Ctenochaetus striatus,Acanthuridae,
Brushtail tang,Zebrasoma scopas,Acanthuridae,
IndoPacific surgeon,Acanthurus guttatus,Acanthuridae,Q
Mimic surgeon,Acanthurus pyroferus,Acanthuridae,
Palelipped surgeon,Acanthurus leucochilus,Acanthuridae,
Palette surgeon,Paracanthurus hepatus,Acanthuridae,
Yellow tang,Zebrasoma velifer,Acanthuridae,Q
Bluespine unicorn,Naso unicornis,Acanthuridae,
Grey unicorn,Naso caesius,Acanthuridae,
Orspined unicorn,Naso lituratus,Acanthuridae,
Spotted unicorn,Naso brevirostris,Acanthuridae,
Vlamings unicorn,Naso vlamingii,Acanthuridae,
Whitemargin unicorn,Naso annulatus,Acanthuridae,
Halfmoon trigger,Sufflamen chrysopterum,Balistidae,
Yellowmargin? Trigger,Pseudobalistes flavimarginatus,Balistidae,
Orange-striped trigger,Balistapus undulatus,Balistidae,
Pinktail trigger,Melichthys vidua,Balistidae,
Scythe trigger,Sufflamen bursa,Balistidae,
Bicolor angel,Centropyge bicolor,Pomacanthidae,
Dusky angel,Centropyge multispinis,Pomacanthidae,
Midnight angel,Centropyge nox,Pomacanthidae,
Multibar angel,Paracentropyge multifasciata,Pomacanthidae,
Regal angel,Pygoplites diacanthus,Pomacanthidae,
Vermiculated angel,Chaetodontoplus mesoleucus,Pomacanthidae,
Yellowcheek tuskfish,Choerodon anchorago,Labridae,
Bicolor wrasse,Labroides bicolor,Labridae,
Celebes wrasse,Oxycheilinus celebicus,Labridae,
Checkerboard wrasse,Halichoeres hortulanus,Labridae,
Halfhalf wrasse,Hemigymnus melanopterus,Labridae,
Mesothorax wrasse,Bodianus mesothorax,Labridae,
Pinstripe wrasse,Pseudocheilinus evanidus,Labridae,
Redbarred wrasse,Pseudocheilinus ocellatus,Labridae,Q
Sixbar wrasse,Thalassoma hardwicke,Labridae,
Slingjaw wrasse,Epibulus insidiator,Labridae,
Tripletail wrasse,Cheilinus trilobatus,Labridae,
Twotone wrasse,Halichoeres prosopeion,Labridae,
Dianas hogfish,Bodianus diana,Labridae,
Bleeker's parrot,Chlorurus bleekeri,Labridae,
Briddled parrot,Scarus frenatus,Labridae,
Bullethead parrot,Chlorurus spilurus,Labridae,
Bumphead parrot,Bolbometopon muricatum,Labridae,
Festive parrot,Scarus festivus,Labridae,
Ind steephead parrot,Chlorurus frontalis,Labridae,
Longnose parrot,Hipposcarus longiceps,Labridae,
Pac steephead parrot,Chlorurus microrhinos,Labridae,
Palenose parrot,Scarus psittacus,Labridae,
Pygmy parrot?,Scarus spinus,Labridae,
Yellowfin parrot,Scarus flavipectoralis,Labridae,
Redtail parrot,Chlorurus japanensis,Labridae,
Russell's parrot,Scarus russellii,Labridae,
Tail-barred parrot,Scarus caudofasciatus,Labridae,
Turquoise-cap parrot,Cetoscarus bicolor,Labridae,
Swarthy parrot,Scarus niger,Labridae,
Yellowtail parrot,Scarus rubripinne,Labridae,
Pearly spinecheek,Scolopsis margaritifer,Nemipteridae,
Sawjaw spinecheek,Scolopsis ciliata,Nemipteridae,
Twoline spinecheek,Scolopsis bilneata,Nemipteridae,
Dashdot goat,Parupeneus barberinus,Mullidae,
Manybar goat,Parupeneus multifasciatus,Mullidae,
Yellowstripe goat,Mulloidichthys flavolineatus,Mullidae,
Giant dottyback,Labracinus cyclophthalmus,Pseudochromidae,
Royal dottyback,Pictichromis paccagnella,Pseudochromidae,
Slendid dottyback,Pseudochromis splendens,Pseudochromidae,
Bigeye emperor,Monotaxis grandoculis,Lethrinidae,
Longfin emperor,Lethrinus erythropterus,Lethrinidae,
Smalltooth emperor,Lethrinus microdon,Lethrinidae,
Trumpet,Aulostomus chinensis,Aulostomidae,
Flametail snapper,Lutjanus fulvus,Lutjanidae,
Twospot snapper,Lutjanus biguttatus,Lutjanidae,
Blackspot snapper,Lutjanus ehrenbergii,Lutjanidae,
Black&white snapper,Macolor niger,Lutjanidae,
Brick soldier,Myripristis amaena,Holocentridae,
Red soldier,Myripristis berndti,Holocentridae,
Bloodspot squirrel,Neoniphon sammara,Holocentridae,
Clearfin squirrel,Neoniphon argenteus,Holocentridae,
Fineline squirrel,Sargocentron microstoma,Holocentridae,
Golden squirrel,Holocentrus rufus,Holocentridae,
Longjaw squirrel,Holocentrus sp.,Holocentridae,Q
Tailspot squirrel,Sargocentron caudimaculatus,Holocentridae,
Threespot squirrel,Sargocentron cornutum,Holocentridae,
Yellowfin squirrel,Sargocentron spiniferum,Holocentridae,
Dusky sweetlips,Plectorhinchus chubbi,Haemulidae,
Harlequin sweetlips,Plectorhinchus chaetodonoides,Haemulidae,
Lessons sweetlips,Plectorhinchus lessonii,Haemulidae,
Oriental sweetlips,Plectorhinchus vittatus,Haemulidae,
Lunar fusilier,Caesio lunaris,Caesionidae,
Bluestreak fusilier,Pterocaesio tile,Caesionidae,
Goldband fusilier,Pterocaesio chrysozona,Caesionidae,
Ruddy fusilier,Pterocaesio pisang,Caesionidae,
Threeline fusilier,Pterocaesio trilineata,Caesionidae,
Yellowback fusilier,Caesio xanthonota,Caesionidae,
Yellowstripe fusilier,Pterocaesio flavifasciata,Caesionidae,
Dusky rabbit,Siganus fuscescens,Siganidae,
Masked rabbit,Siganus puellus,Siganidae,
Smalltooth jobfish,Aphareus furca,Lutjanidae,
Ochre-striped cardinal,Ostorhinchus compressus,Apogonidae,
Fiveline cardinal,Cheilodipterus quinquelineatus,Apogonidae,