station,cleanspp,age,sppam,clientam,timeam,sppnoon,clientnoon,timenoon,spppm,clientpm,timepm
B6,1,1,19,66,404,17,44,375,18,45,543
B5,1,2,6,29,211,5,18,303,13,35,452
B4,1,1,9,23,307,11,22,293,17,31,282
B11,2,1,8,42,432,18,39,306,10,38,541
B2,1,1,16,32,347,16,54,288,16,41,249
B9,2,1,8,27,210,9,30,414,8,22,156
B12,1,1,12,66,425,9,43,445,0,0,0
B15,2,1,15,39,513,12,60,485,15,74,454
P25,3,2,0,0,0,7,36,274,0,0,0
T1,1,1,4,9,248,11,29,398,9,12,229
T10,1,1,10,29,402,0,0,0,0,0,0
T4,1,1,11,29,276,12,12,233,6,6,24
T3,1,1,7,27,231,10,18,84,0,0,0
T7,1,1,9,15,112,12,17,196,8,13,73
T2,1,1,12,21,252,8,13,170,9,29,585
T5b,1,2,11,37,267,6,9,128,10,21,269
T5a,1,1,4,20,672,5,13,153,8,15,146
T6,1,2,9,10,113,9,15,168,11,19,157
T19,1,1,10,35,457,18,39,316,20,66,434
T5c,1,1,14,43,317,6,22,238,10,17,120
T22,1,2,8,24,256,7,17,228,5,7,212
B8,1,2,11,27,328,15,39,466,14,30,316
B13,2,1,15,41,436,6,26,587,9,16,467
B1,2,1,14,52,409,15,55,434,10,35,384
B14,2,1,15,54,499,14,38,469,14,46,586
B16,2,1,8,18,228,8,15,126,9,12,320
Fallen,2,1,12,72,428,17,60,357,14,22,410
Acropora1,3,2,5,11,206,12,21,228,0,0,0
T69,2,1,9,21,420,13,30,563,8,17,660
T62,2,1,11,24,315,12,79,568,10,34,594
Kara,3,1,0,0,0,2,7,45,0,0,0
Site1,3,2,0,0,0,5,11,106,0,0,0
T4a,1,2,7,20,545,11,25,573,13,20,398
Acropora2,3,2,0,0,0,9,13,96,0,0,0
Misc1,3,2,0,0,0,4,4,8,0,0,0
Misc2,3,1,0,0,0,0,0,0,10,15,55
Platform,3,1,0,0,0,0,0,0,5,42,490
Misc3,3,1,9,17,218,0,0,0,0,0,0
Misc4,3,1,4,10,69,0,0,0,0,0,0